customer_id,signup_date,country,age,gender,segment
CUST_00052,2024-07-19,Brazil,49,M,Regular
CUST_00053,2024-11-16,USA,34,F,VIP
CUST_00054,2024-10-15,USA,21,M,New
CUST_00055,2024-03-12,UK,54,M,Regular
CUST_00056,2024-11-03,France,63,F,Regular
CUST_00057,2023-03-06,UK,37,F,New
CUST_00058,2023-05-24,USA,63,F,VIP
CUST_00059,2023-02-03,Germany,39,M,New
CUST_00060,2023-08-26,USA,33,F,New
CUST_00061,2023-10-11,Australia,30,M,Regular
CUST_00062,2023-07-18,Australia,57,F,Regular
CUST_00063,2024-08-27,Germany,28,M,At-Risk
CUST_00064,2023-09-18,USA,46,F,At-Risk
CUST_00065,2023-07-25,Brazil,31,F,Regular
CUST_00066,2024-02-01,USA,32,M,New
CUST_00067,2023-04-13,UK,50,M,New
CUST_00068,2024-08-08,USA,33,F,New
CUST_00069,2023-02-24,Australia,33,F,Regular
CUST_00070,2024-12-21,USA,51,F,VIP
CUST_00071,2024-07-17,Germany,57,F,New
CUST_00072,2023-05-26,Brazil,45,M,New
CUST_00073,2023-01-05,UK,30,M,Regular
CUST_00074,2024-08-18,USA,31,M,New
CUST_00075,2024-05-31,Japan,38,M,Regular
CUST_00076,2024-06-16,Germany,41,F,Regular
CUST_00077,2024-07-17,Germany,26,M,Regular
CUST_00078,2023-02-24,USA,46,F,New
CUST_00079,2023-09-19,UK,39,F,At-Risk
CUST_00080,2023-03-26,UK,18,F,New
CUST_00081,2024-09-22,USA,26,F,At-Risk
CUST_00082,2024-03-31,USA,31,M,New
CUST_00083,2023-08-30,Canada,37,F,At-Risk
CUST_00084,2023-02-16,USA,60,M,Regular
CUST_00085,2023-08-16,USA,40,M,New
CUST_00086,2023-08-26,Germany,27,F,VIP
CUST_00087,2024-06-16,Brazil,40,M,Regular
CUST_00088,2024-04-10,USA,33,Other,New
CUST_00089,2024-10-09,Germany,41,F,New
CUST_00090,2023-12-11,USA,44,F,Regular
CUST_00091,2023-03-29,USA,52,M,Regular
CUST_00092,2024-06-04,USA,37,F,Regular
CUST_00093,2024-07-09,Canada,57,M,Regular
CUST_00094,2024-02-14,USA,48,F,Regular
CUST_00095,2024-07-16,USA,29,M,VIP
CUST_00096,2023-12-27,UK,64,F,Regular
CUST_00097,2024-01-17,Canada,41,M,New
CUST_00098,2023-11-09,USA,27,M,At-Risk
CUST_00099,2023-01-19,UK,57,F,New
CUST_00100,2023-03-20,USA,62,M,New
CUST_00101,2023-01-23,UK,37,F,Regular
CUST_00102,2024-04-09,Germany,31,M,Regular
CUST_00103,2023-08-18,Germany,35,M,New
CUST_00104,2024-01-07,USA,46,F,New
CUST_00105,2024-10-24,USA,53,M,Regular
CUST_00106,2023-07-01,USA,44,M,At-Risk
CUST_00107,2023-10-27,UK,39,F,Regular
CUST_00108,2024-07-05,USA,55,M,Regular
CUST_00109,2023-06-17,Brazil,34,M,New
CUST_00110,2023-02-26,Japan,50,M,New
CUST_00111,2023-07-31,Japan,34,M,New
CUST_00112,2023-04-28,Canada,43,F,New
CUST_00113,2024-11-09,Germany,36,M,Regular
CUST_00114,2024-08-12,France,37,F,New
CUST_00115,2024-04-07,USA,33,M,New
CUST_00116,2024-09-28,France,54,M,Regular
CUST_00117,2024-08-09,UK,29,M,At-Risk
CUST_00118,2023-05-17,UK,29,F,At-Risk
CUST_00119,2024-10-13,Brazil,63,F,Regular
CUST_00120,2024-01-29,USA,49,F,New
CUST_00121,2024-08-12,USA,18,Other,Regular
CUST_00122,2024-10-16,Australia,31,M,New
CUST_00123,2023-08-21,USA,18,M,Regular
CUST_00124,2023-03-22,UK,26,M,VIP
CUST_00125,2023-06-16,Australia,18,M,Regular
CUST_00126,2023-11-08,Germany,36,M,At-Risk
CUST_00127,2024-08-20,Germany,24,M,Regular
CUST_00128,2024-09-20,USA,38,M,Regular
CUST_00129,2023-01-06,USA,18,M,New
CUST_00130,2024-01-08,Canada,38,M,At-Risk
CUST_00131,2023-11-01,Germany,33,M,New
CUST_00132,2023-06-12,Germany,56,F,At-Risk
CUST_00133,2023-03-29,USA,54,M,New
CUST_00134,2023-09-04,USA,47,F,New
CUST_00135,2024-11-19,Japan,34,F,VIP
CUST_00136,2023-08-24,UK,61,M,New
CUST_00137,2024-01-14,Germany,19,M,VIP
CUST_00138,2024-05-28,USA,21,M,New
CUST_00139,2023-09-23,France,36,F,At-Risk
CUST_00140,2024-12-10,Australia,65,M,Regular
CUST_00141,2024-12-03,Germany,35,M,Regular
CUST_00142,2023-07-03,USA,35,M,New
CUST_00143,2023-12-29,Germany,20,F,New
CUST_00144,2023-08-08,Brazil,49,M,VIP
CUST_00145,2023-07-27,UK,49,F,New
CUST_00146,2023-01-27,Canada,47,F,New
CUST_00147,2024-03-20,France,30,F,Regular
CUST_00148,2024-01-02,Canada,29,F,Regular
CUST_00149,2023-02-07,France,22,F,New
CUST_00150,2023-07-23,USA,39,F,New
CUST_00151,2024-10-25,USA,25,F,New
CUST_00152,2023-06-24,USA,23,M,At-Risk
CUST_00153,2023-04-16,Australia,32,M,New
CUST_00154,2023-12-24,Brazil,32,F,At-Risk
CUST_00155,2024-12-20,France,31,F,New
CUST_00156,2023-06-26,USA,43,F,New
CUST_00157,2024-05-05,USA,38,F,Regular
CUST_00158,2024-07-09,Brazil,34,F,New
CUST_00159,2023-06-23,UK,40,M,Regular
CUST_00160,2024-06-15,USA,26,F,At-Risk
CUST_00161,2023-09-26,Germany,39,M,New
CUST_00162,2024-04-06,USA,39,F,VIP
CUST_00163,2024-04-07,USA,19,F,New
CUST_00164,2024-01-27,UK,49,F,New
CUST_00165,2023-03-07,USA,27,M,New
CUST_00166,2024-09-01,Japan,39,M,At-Risk
CUST_00167,2023-08-23,USA,51,M,New
CUST_00168,2023-05-17,USA,49,F,At-Risk
CUST_00169,2023-01-30,USA,38,F,Regular
CUST_00170,2024-03-07,Brazil,33,M,New
CUST_00171,2024-05-09,UK,49,F,Regular
CUST_00172,2023-01-13,Germany,46,F,VIP
CUST_00173,2024-01-09,USA,30,M,Regular
CUST_00174,2023-06-15,USA,28,M,Regular
CUST_00175,2024-04-15,UK,18,F,At-Risk
CUST_00176,2023-05-08,Brazil,39,F,New
CUST_00177,2024-05-19,Canada,37,F,At-Risk
CUST_00178,2023-10-10,USA,51,F,VIP
CUST_00179,2024-11-14,Germany,42,Other,Regular
CUST_00180,2023-04-11,Australia,54,M,VIP
CUST_00181,2023-09-06,UK,29,F,Regular
CUST_00182,2023-03-24,Canada,51,M,Regular
CUST_00183,2024-11-06,USA,31,M,Regular
CUST_00184,2024-10-02,Australia,47,M,New
CUST_00185,2023-07-08,Brazil,20,M,Regular
CUST_00186,2024-04-26,Australia,40,F,New
CUST_00187,2024-08-19,France,18,F,Regular
CUST_00188,2024-02-10,UK,34,M,New
CUST_00189,2024-01-22,Australia,43,F,New
CUST_00190,2023-06-26,USA,31,F,New
CUST_00191,2023-03-09,USA,25,F,At-Risk
CUST_00192,2024-10-16,France,48,F,New
CUST_00193,2024-10-19,Brazil,36,M,Regular
CUST_00194,2024-04-07,Australia,32,F,New
CUST_00195,2023-09-05,USA,38,F,Regular
CUST_00196,2023-09-12,Brazil,69,F,New
CUST_00197,2024-06-13,Brazil,51,F,New
CUST_00198,2024-10-16,USA,51,F,Regular
CUST_00199,2024-10-09,UK,43,F,Regular
CUST_00200,2024-07-23,USA,39,F,New
CUST_00201,2024-04-13,USA,18,Other,Regular
CUST_00202,2023-03-03,Japan,29,M,At-Risk
CUST_00203,2023-04-28,France,32,M,New
CUST_00204,2024-10-17,France,18,M,New
CUST_00205,2024-03-18,Japan,24,F,Regular
CUST_00206,2023-01-07,UK,18,F,New
CUST_00207,2023-03-16,Brazil,37,M,At-Risk
CUST_00208,2024-04-29,UK,47,Other,Regular
CUST_00209,2023-01-04,Canada,51,F,Regular
CUST_00210,2023-04-28,USA,42,F,Regular
CUST_00211,2024-02-05,Australia,26,M,Regular
CUST_00212,2024-05-20,USA,18,F,New
CUST_00213,2024-04-20,USA,18,F,At-Risk
CUST_00214,2023-06-13,Brazil,22,F,Regular
CUST_00215,2024-06-03,UK,27,F,New
CUST_00216,2023-06-23,Germany,36,F,Regular
CUST_00217,2023-08-26,UK,25,M,New
CUST_00218,2024-06-28,Brazil,42,F,New
CUST_00219,2024-04-19,USA,35,M,Regular
CUST_00220,2024-09-11,USA,38,M,Regular
CUST_00221,2024-04-25,USA,51,M,Regular
CUST_00222,2024-02-19,UK,23,M,New
CUST_00223,2023-03-10,USA,43,M,Regular
CUST_00224,2023-09-26,UK,37,F,New
CUST_00225,2023-07-13,UK,33,F,Regular
CUST_00226,2023-06-28,USA,48,M,Regular
CUST_00227,2024-12-11,Germany,48,F,Regular
CUST_00228,2023-10-14,Canada,26,M,At-Risk
CUST_00229,2024-10-13,USA,35,M,At-Risk
CUST_00230,2024-04-05,Germany,41,F,At-Risk
CUST_00231,2024-08-03,France,34,F,At-Risk
CUST_00232,2024-01-02,UK,45,F,VIP
CUST_00233,2024-02-26,France,41,M,At-Risk
CUST_00234,2023-12-26,UK,59,F,At-Risk
CUST_00235,2023-05-23,Germany,19,F,Regular
CUST_00236,2024-06-11,USA,36,F,New
CUST_00237,2023-07-24,France,27,M,New
CUST_00238,2023-01-18,France,45,F,VIP
CUST_00239,2024-04-16,USA,18,F,Regular
CUST_00240,2023-05-10,UK,42,Other,VIP
CUST_00241,2024-11-17,Japan,30,M,New
CUST_00242,2024-11-27,UK,29,F,New
CUST_00243,2024-10-29,Germany,20,M,Regular
CUST_00244,2023-09-28,Australia,32,F,At-Risk
CUST_00245,2023-01-12,France,51,M,New
CUST_00246,2024-11-08,Germany,37,M,At-Risk
CUST_00247,2023-11-09,Brazil,45,F,VIP
CUST_00248,2024-12-06,Canada,57,M,New
CUST_00249,2024-12-04,UK,41,M,New
CUST_00250,2024-09-14,UK,31,M,New
CUST_00251,2023-08-03,UK,43,M,New
CUST_00252,2023-10-09,Japan,31,F,Regular
CUST_00253,2024-09-13,France,31,F,New
CUST_00254,2023-08-20,USA,19,F,New
CUST_00255,2023-05-04,Canada,49,M,VIP
CUST_00256,2024-02-11,UK,33,F,Regular
CUST_00257,2024-11-14,USA,40,F,Regular
CUST_00258,2024-05-23,Germany,25,F,New
CUST_00259,2024-02-21,UK,43,F,VIP
CUST_00260,2023-03-12,Canada,28,F,At-Risk
CUST_00261,2024-03-24,USA,36,F,Regular
CUST_00262,2024-12-23,Canada,48,M,At-Risk
CUST_00263,2023-04-13,Germany,47,M,VIP
CUST_00264,2024-01-14,USA,37,F,Regular
CUST_00265,2024-10-02,Japan,18,F,Regular
CUST_00266,2024-06-24,Germany,73,M,New
CUST_00267,2024-05-23,USA,58,M,New
CUST_00268,2024-05-27,UK,46,F,New
CUST_00269,2023-09-20,Canada,28,F,New
CUST_00270,2023-08-03,USA,36,M,New
CUST_00271,2024-08-13,USA,31,M,At-Risk
CUST_00272,2024-08-14,USA,53,F,New
CUST_00273,2024-09-24,USA,41,F,At-Risk
CUST_00274,2024-10-28,Brazil,28,M,Regular
CUST_00275,2024-01-09,UK,32,F,New
CUST_00276,2024-01-02,USA,51,F,Regular
CUST_00277,2024-08-05,USA,57,F,New
CUST_00278,2024-04-19,USA,56,Other,At-Risk
CUST_00279,2024-05-27,Australia,47,F,VIP
CUST_00280,2024-08-03,USA,34,M,New
CUST_00281,2024-10-11,Japan,18,M,At-Risk
CUST_00282,2023-09-04,UK,41,M,Regular
CUST_00283,2023-10-02,USA,37,M,New
CUST_00284,2023-03-10,Canada,39,M,Regular
CUST_00285,2024-02-27,UK,38,M,Regular
CUST_00286,2023-01-27,France,22,F,New
CUST_00287,2023-12-06,Japan,44,F,VIP
CUST_00288,2024-02-01,USA,45,F,New
CUST_00289,2023-07-29,USA,46,F,Regular
CUST_00290,2024-03-07,Brazil,49,M,New
CUST_00291,2023-01-23,USA,45,M,At-Risk
CUST_00292,2023-01-28,USA,33,M,VIP
CUST_00293,2024-08-23,USA,37,F,New
CUST_00294,2023-09-20,USA,39,M,New
CUST_00295,2023-04-03,Brazil,39,F,New
CUST_00296,2024-01-17,USA,49,F,VIP
CUST_00297,2024-07-16,UK,45,M,New
CUST_00298,2023-06-07,Germany,62,M,VIP
CUST_00299,2024-03-30,UK,64,F,At-Risk
CUST_00300,2023-03-04,USA,38,F,Regular
CUST_00301,2023-02-07,Brazil,18,F,New
CUST_00302,2024-01-23,USA,52,M,New
CUST_00303,2024-01-30,Brazil,31,F,Regular
CUST_00304,2024-04-10,Canada,28,M,Regular
CUST_00305,2024-06-14,UK,33,Other,Regular
CUST_00306,2024-12-13,Germany,32,F,Regular
CUST_00307,2024-01-12,UK,45,F,New
CUST_00308,2023-08-24,UK,19,M,At-Risk
CUST_00309,2024-08-03,Canada,25,F,New
CUST_00310,2023-07-17,Canada,42,M,Regular
CUST_00311,2023-11-17,USA,45,M,VIP
CUST_00312,2023-02-27,Germany,45,M,New
CUST_00313,2023-01-19,Australia,28,F,Regular
CUST_00314,2024-12-03,Japan,26,F,VIP
CUST_00315,2024-09-02,Germany,31,M,Regular
CUST_00316,2024-05-23,UK,40,F,New
CUST_00317,2023-10-26,USA,55,M,New
CUST_00318,2023-05-07,Australia,18,M,New
CUST_00319,2023-04-25,USA,35,M,New
CUST_00320,2023-07-02,Germany,22,F,At-Risk
CUST_00321,2024-02-05,USA,18,F,Regular
CUST_00322,2024-06-05,USA,49,F,New
CUST_00323,2024-04-26,UK,44,F,At-Risk
CUST_00324,2023-07-24,Japan,43,M,Regular
CUST_00325,2024-11-28,USA,49,F,New
CUST_00326,2024-06-22,Germany,32,M,New
CUST_00327,2024-02-09,USA,32,F,New
CUST_00328,2024-03-22,USA,64,F,At-Risk
CUST_00329,2023-11-03,UK,35,F,Regular
CUST_00330,2023-06-30,Germany,46,F,At-Risk
CUST_00331,2023-09-17,USA,38,F,New
CUST_00332,2024-07-07,USA,18,M,At-Risk
CUST_00333,2023-01-11,USA,18,F,New
CUST_00334,2023-03-26,USA,31,M,At-Risk
CUST_00335,2023-02-03,Japan,50,M,At-Risk
CUST_00336,2023-01-30,Australia,47,F,New
CUST_00337,2024-09-16,USA,48,F,VIP
CUST_00338,2024-05-28,Germany,26,M,VIP
CUST_00339,2023-12-13,Australia,57,F,At-Risk
CUST_00340,2023-03-13,USA,26,Other,New
CUST_00341,2023-12-25,Brazil,40,F,Regular
CUST_00342,2023-12-12,Australia,37,F,At-Risk
CUST_00343,2023-05-07,USA,35,F,VIP
CUST_00344,2023-11-13,USA,54,M,New
CUST_00345,2023-10-18,Japan,29,F,VIP
CUST_00346,2024-03-25,Germany,21,F,New
CUST_00347,2024-04-08,USA,38,F,VIP
CUST_00348,2023-02-03,USA,33,F,New
CUST_00349,2023-10-01,UK,78,M,New
CUST_00350,2024-04-01,France,46,M,Regular
CUST_00351,2024-01-03,Brazil,33,M,Regular
CUST_00352,2024-09-17,Japan,25,M,Regular
CUST_00353,2024-04-25,USA,18,M,Regular
CUST_00354,2023-04-29,Germany,25,M,New
CUST_00355,2023-02-21,Germany,39,F,New
CUST_00356,2024-04-13,UK,55,F,VIP
CUST_00357,2023-01-20,USA,51,F,New
CUST_00358,2024-03-03,Japan,40,F,Regular
CUST_00359,2024-11-17,Canada,34,M,Regular
CUST_00360,2024-02-25,UK,41,M,At-Risk
CUST_00361,2023-10-11,Germany,31,F,Regular
CUST_00362,2024-04-14,USA,58,F,New
CUST_00363,2023-12-01,Germany,35,F,VIP
CUST_00364,2024-02-03,France,36,M,At-Risk
CUST_00365,2024-11-18,Germany,18,M,Regular
CUST_00366,2023-10-09,Japan,35,F,At-Risk
CUST_00367,2024-12-02,Germany,48,F,Regular
CUST_00368,2024-10-22,UK,25,F,Regular
CUST_00369,2023-05-23,Brazil,28,F,New
CUST_00370,2023-02-20,USA,47,F,Regular
CUST_00371,2023-03-15,UK,20,F,New
CUST_00372,2023-01-14,USA,50,F,New
CUST_00373,2023-03-10,UK,31,F,New
CUST_00374,2024-05-13,Brazil,33,F,New
CUST_00375,2023-02-21,UK,24,F,New
CUST_00376,2023-08-21,Brazil,42,F,Regular
CUST_00377,2024-09-08,Germany,67,M,New
CUST_00378,2023-01-17,USA,47,F,At-Risk
CUST_00379,2024-08-17,Brazil,27,F,New
CUST_00380,2023-07-25,USA,51,M,Regular
CUST_00381,2023-03-28,USA,34,F,New
CUST_00382,2024-05-23,Germany,54,M,New
CUST_00383,2024-04-04,USA,47,F,New
CUST_00384,2024-10-02,USA,18,F,Regular
CUST_00385,2024-06-20,France,25,M,VIP
CUST_00386,2024-08-09,Germany,49,M,New
CUST_00387,2023-07-25,UK,39,F,New
CUST_00388,2023-05-10,Japan,25,F,New
CUST_00389,2024-07-01,Germany,30,M,VIP
CUST_00390,2024-08-11,Canada,18,F,VIP
CUST_00391,2024-12-24,USA,36,F,New
CUST_00392,2023-10-29,Germany,64,F,New
CUST_00393,2023-09-29,Canada,47,M,At-Risk
CUST_00394,2024-07-20,Germany,64,F,New
CUST_00395,2023-09-06,France,48,M,Regular
CUST_00396,2024-11-10,UK,50,F,New
CUST_00397,2024-09-18,USA,61,F,Regular
CUST_00398,2023-11-10,UK,42,M,At-Risk
CUST_00399,2024-07-02,UK,35,F,At-Risk
CUST_00400,2024-07-04,Canada,50,M,VIP
CUST_00401,2023-03-17,USA,55,F,Regular
CUST_00402,2024-10-20,Japan,32,F,Regular
CUST_00403,2024-01-04,Australia,29,F,New
CUST_00404,2024-08-26,USA,39,F,At-Risk
CUST_00405,2023-08-22,USA,47,F,Regular
CUST_00406,2024-10-15,Canada,47,F,Regular
CUST_00407,2023-10-12,Japan,20,F,New
CUST_00408,2023-01-08,UK,60,M,Regular
CUST_00409,2024-10-22,USA,30,F,At-Risk
CUST_00410,2023-03-08,Germany,34,F,Regular
CUST_00411,2023-08-22,France,27,M,New
CUST_00412,2024-11-24,USA,70,M,New
CUST_00413,2024-11-24,Brazil,40,M,New
CUST_00414,2024-02-23,USA,27,M,At-Risk
CUST_00415,2024-04-06,USA,48,M,At-Risk
CUST_00416,2023-11-24,UK,47,F,At-Risk
CUST_00417,2023-08-03,UK,35,F,Regular
CUST_00418,2023-08-28,USA,48,F,Regular
CUST_00419,2024-05-05,UK,28,M,Regular
CUST_00420,2024-07-03,USA,32,F,Regular
CUST_00421,2024-07-31,USA,18,F,Regular
CUST_00422,2024-07-30,USA,22,F,Regular
CUST_00423,2023-03-08,Japan,59,F,Regular
CUST_00424,2023-12-27,UK,57,M,New
CUST_00425,2023-02-12,UK,38,F,New
CUST_00426,2024-02-06,Germany,57,F,VIP
CUST_00427,2023-11-19,Japan,36,M,At-Risk
CUST_00428,2024-10-10,USA,35,M,Regular
CUST_00429,2023-09-14,France,38,M,New
CUST_00430,2023-03-27,France,36,M,At-Risk
CUST_00431,2023-04-15,Germany,35,M,Regular
CUST_00432,2024-07-09,USA,51,F,Regular
CUST_00433,2024-03-27,France,39,F,Regular
CUST_00434,2023-03-15,USA,46,F,Regular
CUST_00435,2023-03-03,Germany,50,F,Regular
CUST_00436,2024-05-26,Brazil,42,F,At-Risk
CUST_00437,2023-02-23,USA,26,F,New
CUST_00438,2024-08-22,Canada,21,F,New
CUST_00439,2024-05-30,USA,39,M,New
CUST_00440,2023-03-01,Canada,35,F,New
CUST_00441,2023-03-03,UK,39,F,New
CUST_00442,2024-12-21,USA,37,M,New
CUST_00443,2023-10-01,USA,69,F,New
CUST_00444,2023-09-28,Australia,22,F,New
CUST_00445,2024-08-16,USA,18,F,New
CUST_00446,2024-11-22,USA,41,M,New
CUST_00447,2024-12-20,USA,33,F,Regular
CUST_00448,2024-07-03,France,41,M,Regular
CUST_00449,2023-10-02,Germany,45,M,New
CUST_00450,2023-03-02,USA,53,M,Regular
CUST_00451,2024-07-21,USA,19,F,At-Risk
CUST_00452,2024-02-12,USA,31,F,At-Risk
CUST_00453,2023-11-06,USA,43,M,New
CUST_00454,2024-10-23,UK,47,F,VIP
CUST_00455,2023-03-23,France,64,M,New
CUST_00456,2023-12-26,USA,49,M,New
CUST_00457,2023-01-09,UK,37,F,New
CUST_00458,2023-12-09,UK,27,M,New
CUST_00459,2023-02-11,Japan,31,F,Regular
CUST_00460,2023-03-28,Australia,30,M,Regular
CUST_00461,2023-03-27,Brazil,45,M,Regular
CUST_00462,2024-04-18,USA,41,F,New
CUST_00463,2024-06-28,USA,22,F,New
CUST_00464,2024-03-01,USA,32,M,New
CUST_00465,2024-12-03,USA,48,F,New
CUST_00466,2023-10-01,Germany,42,F,At-Risk
CUST_00467,2023-07-28,Brazil,44,F,VIP
CUST_00468,2024-09-26,Canada,42,M,At-Risk
CUST_00469,2023-06-13,Canada,57,F,Regular
CUST_00470,2024-12-04,UK,40,F,Regular
CUST_00471,2023-01-09,France,33,M,New
CUST_00472,2024-12-09,USA,27,F,Regular
CUST_00473,2023-02-01,USA,40,F,Regular
CUST_00474,2024-10-12,France,18,F,VIP
CUST_00475,2024-01-21,USA,35,F,Regular
CUST_00476,2024-12-25,UK,35,F,New
CUST_00477,2023-02-23,USA,21,F,VIP
CUST_00478,2024-02-09,France,26,F,At-Risk
CUST_00479,2024-12-08,Brazil,47,F,Regular
CUST_00480,2024-01-17,USA,40,F,Regular
CUST_00481,2024-04-04,Brazil,39,M,New
CUST_00482,2024-05-22,USA,41,M,Regular
CUST_00483,2023-11-28,UK,39,F,New
CUST_00484,2024-04-03,Brazil,52,M,New
CUST_00485,2024-03-02,France,39,F,Regular
CUST_00486,2024-10-19,Japan,20,F,New
CUST_00487,2023-02-03,USA,57,F,Regular
CUST_00488,2023-07-25,France,42,Other,At-Risk
CUST_00489,2024-11-24,Germany,30,F,New
CUST_00490,2024-10-11,Australia,22,M,Regular
CUST_00491,2023-11-29,USA,42,F,Regular
CUST_00492,2024-03-28,Brazil,36,M,New
CUST_00493,2023-07-22,Germany,56,M,Regular
CUST_00494,2023-05-18,USA,33,M,Regular
CUST_00495,2023-12-05,UK,27,M,Regular
CUST_00496,2023-09-15,USA,48,M,At-Risk
CUST_00497,2024-03-02,Germany,49,M,Regular
CUST_00498,2023-02-26,Canada,40,F,At-Risk
CUST_00499,2024-12-12,Germany,46,F,Regular
CUST_00500,2024-12-20,France,37,M,New
CUST_00501,2024-05-24,Germany,40,M,Regular
CUST_00502,2024-01-27,USA,51,F,New
CUST_00503,2023-08-14,USA,45,F,Regular
CUST_00504,2024-08-17,UK,35,F,Regular
CUST_00505,2024-05-14,USA,54,M,Regular
CUST_00506,2023-04-29,USA,18,F,New
CUST_00507,2024-10-26,Germany,62,F,Regular
CUST_00508,2024-08-23,USA,18,F,New
CUST_00509,2024-11-24,USA,30,M,Regular
CUST_00510,2024-06-13,UK,37,M,VIP
CUST_00511,2024-03-23,USA,36,M,At-Risk
CUST_00512,2023-11-02,Australia,50,M,New
CUST_00513,2024-11-11,Canada,25,F,Regular
CUST_00514,2024-09-24,France,41,F,Regular
CUST_00515,2023-02-03,USA,31,F,At-Risk
CUST_00516,2023-01-20,Brazil,41,F,Regular
CUST_00517,2023-10-02,Brazil,37,F,New
CUST_00518,2024-08-14,Brazil,39,M,Regular
CUST_00519,2024-12-21,USA,31,Other,Regular
CUST_00520,2023-04-20,France,31,F,Regular
CUST_00521,2024-03-09,Canada,41,M,At-Risk
CUST_00522,2023-10-06,Germany,49,M,New
CUST_00523,2024-12-09,France,30,F,At-Risk
CUST_00524,2024-09-06,UK,27,F,New
CUST_00525,2024-09-03,Germany,45,M,At-Risk
CUST_00526,2023-12-09,USA,37,F,At-Risk
CUST_00527,2023-10-30,France,47,F,Regular
CUST_00528,2023-07-19,USA,27,F,Regular
CUST_00529,2023-02-11,UK,18,M,New
CUST_00530,2024-09-23,USA,31,M,New
CUST_00531,2024-08-16,Germany,28,F,New
CUST_00532,2024-12-30,USA,37,F,New
CUST_00533,2024-12-28,France,30,M,Regular
CUST_00534,2024-02-10,Brazil,46,M,New
CUST_00535,2024-07-15,USA,34,M,At-Risk
CUST_00536,2024-11-20,USA,39,M,Regular
CUST_00537,2024-09-12,USA,39,F,Regular
CUST_00538,2023-06-30,Canada,40,F,Regular
CUST_00539,2023-11-25,Germany,37,M,New
CUST_00540,2023-04-05,UK,44,M,New
CUST_00541,2024-11-27,USA,28,F,New
CUST_00542,2024-03-18,France,54,M,VIP
CUST_00543,2023-06-16,Canada,35,F,Regular
CUST_00544,2024-05-05,Canada,22,F,New
CUST_00545,2024-03-27,France,40,F,VIP
CUST_00546,2023-09-19,USA,27,M,New
CUST_00547,2023-03-24,USA,45,M,Regular
CUST_00548,2024-05-05,USA,64,F,Regular
CUST_00549,2024-01-15,USA,28,M,Regular
CUST_00550,2024-07-17,USA,41,M,At-Risk
CUST_00551,2024-01-15,USA,18,F,VIP
CUST_00552,2024-09-14,UK,43,F,Regular
CUST_00553,2024-02-07,Australia,27,F,New
CUST_00554,2024-02-14,Germany,30,M,VIP
CUST_00555,2024-10-01,Canada,24,F,Regular
CUST_00556,2023-10-22,France,46,F,New
CUST_00557,2023-04-08,USA,50,M,Regular
CUST_00558,2023-01-22,Brazil,38,F,New
CUST_00559,2024-07-05,USA,27,M,New
